Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-AMI-HRRP,296.0,,0.9483,13.0146,13.7235,36.0,2020-07-01,2023-06-30
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-CABG-HRRP,151.0,,0.9509,9.6899,10.1898,13.0,2020-07-01,2023-06-30
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HF-HRRP,681.0,,1.0597,21.5645,20.3495,151.0,2020-07-01,2023-06-30
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-HIP-KNEE-HRRP,,,0.9654,4.268,4.4211,,2020-07-01,2023-06-30
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-PN-HRRP,490.0,,0.9715,16.1137,16.5863,77.0,2020-07-01,2023-06-30
SOUTHEAST HEALTH MEDICAL CENTER,10001,AL,READM-30-COPD-HRRP,130.0,,0.933,15.4544,16.5637,16.0,2020-07-01,2023-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HIP-KNEE-HRRP,,,0.8497,4.2346,4.9836,,2020-07-01,2023-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-HF-HRRP,176.0,,0.9935,20.1511,20.2835,35.0,2020-07-01,2023-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-PN-HRRP,305.0,,0.8495,13.3621,15.7296,30.0,2020-07-01,2023-06-30
MARSHALL MEDICAL CENTERS,10005,AL,READM-30-COPD-HRRP,144.0,,0.8696,15.5737,17.909,14.0,2020-07-01,2023-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-COPD-HRRP,154.0,,0.9463,17.788,18.7982,24.0,2020-07-01,2023-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HF-HRRP,508.0,,0.9666,19.1704,19.8318,95.0,2020-07-01,2023-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-AMI-HRRP,315.0,,0.9704,11.875,12.2373,36.0,2020-07-01,2023-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-CABG-HRRP,91.0,,1.0846,12.3902,11.4233,14.0,2020-07-01,2023-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-PN-HRRP,621.0,,1.0112,16.7862,16.6008,105.0,2020-07-01,2023-06-30
NORTH ALABAMA MEDICAL CENTER,10006,AL,READM-30-HIP-KNEE-HRRP,,,0.9762,4.7872,4.9039,,2020-07-01,2023-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-COPD-HRRP,,,1.0277,17.8169,17.3362,,2020-07-01,2023-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HF-HRRP,35.0,,1.0674,21.0944,19.7621,12.0,2020-07-01,2023-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-HIP-KNEE-HRRP,,,0.9695,4.2361,4.3694,,2020-07-01,2023-06-30
MIZELL MEMORIAL HOSPITAL,10007,AL,READM-30-PN-HRRP,85.0,,1.0488,16.2187,15.4636,17.0,2020-07-01,2023-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-COPD-HRRP,58.0,,1.012,17.7252,17.5152,11.0,2020-07-01,2023-06-30
ST. VINCENT'S EAST,10011,AL,READM-30-AMI-HRRP,148.0,,0.9675,11.8541,12.2521,16.0,2020-07-01,2023-06-30
